dist,expr,repKO,rep,size,relcen,pos,cell,ori,genrep,type,Legend:,,
0.459,0,0,3,679.999,0.067599411,5,2,0,3,1,,,
0.524,0,0,3,1662.324,0.079635258,10,22,0,3,1,,,
0.53,0,0,3,935.543,0.09858631,10,5,0,3,1,,,
0.532,0,0,3,673.655,0.104089219,6,1,0,3,1,,,
0.562,0,0,3,664.049,0.093293493,5,3,0,3,1,,,
0.596,0,0,3,455.873,0.118654191,9,15,0,3,1,,,
0.597,0,0,3,853.244,0.115429234,6,5,0,3,1,,,
0.621,0,0,3,905.105,0.162056367,10,4,0,3,1,,,
0.631,0,0,3,1297.454,0.086166872,1,9,0,3,1,,,
0.657,0,0,3,692.298,0.101482854,10,10,0,3,1,,,
0.682,0,0,3,783.006,0.10237166,6,6,0,3,1,,,
0.683,0,0,3,1298.907,0.07753434,2,9,0,3,1,,,
0.7265,0,0,3,801.053,0.106019701,1,17,0,3,1,,,
0.781,0,0,3,2348.165,0.109399076,10,13,0,3,1,,,
0.797,0,0,3,601.735,0.142143749,9,6,0,3,1,,,
0.84,0,0,3,636.172,0.137704918,9,9,0,3,1,,,
0.844,0,0,3,1248.052,0.187680676,1,22,0,3,1,,,
0.849,0,0,3,738.876,0.225498008,2,24,0,3,1,,,
1.004,0,0,3,858.232,0.141388537,10,12,0,3,1,,,
1.007,0,0,3,994.138,0.140603183,2,15,0,3,1,,,
1.057,0,0,3,533.599,0.204330176,5,8,0,3,1,,,
1.071,0,0,3,822.635,0.153989935,2,11,0,3,1,,,
1.111,0,0,3,852.459,0.183121806,5,4,0,3,1,,,
1.136,0,0,3,786.385,0.220197713,6,2,0,3,1,,,
1.144,0,0,3,728.409,0.168062289,6,7,0,3,1,,,
1.167,0,0,3,271.991,0.284218217,9,14,0,3,1,,,
1.18,0,0,3,678.67,0.21431166,2,21,0,3,1,,,
1.183,0,0,3,690.091,0.220297952,1,13,0,3,1,,,
1.208,0,0,3,1222.903,0.209722222,5,13,0,3,1,,,
1.3,0,0,3,1164.245,0.230007077,1,16,0,3,1,,,
1.357,0,0,3,550.133,0.229416737,10,17,0,3,1,,,
1.358,0,0,3,1048.812,0.155841175,1,18,0,3,1,,,
1.385,0,0,3,912.164,0.187491539,10,8,0,3,1,,,
1.427,0,0,3,1044.509,0.232070255,1,12,0,3,1,,,
1.433,0,0,3,846.198,0.16888627,2,8,0,3,1,,,
1.442,0,0,3,785.518,0.257591997,10,9,0,3,1,,,
1.46,0,0,3,1177.674,0.190426503,5,15,0,3,1,,,
1.511,0,0,3,644.753,0.252295876,1,5,0,3,1,,,
1.545,0,0,3,1080.853,0.220054123,1,3,0,3,1,,,
1.549,0,0,3,480.154,0.271563815,9,4,0,3,1,,,
1.571,0,0,3,1164.558,0.241803909,1,11,0,3,1,,,
1.575,0,0,3,653.332,0.322613683,2,19,0,3,1,,,
1.655,0,0,3,950.343,0.234220209,1,14,0,3,1,,,
1.685,0,0,3,828.571,0.292281006,2,5,0,3,1,,,
1.688,0,0,3,549.892,0.328660436,2,23,0,3,1,,,
1.689,0,0,3,925.91,0.21955024,6,4,0,3,1,,,
1.704,0,0,3,807.924,0.216821479,9,1,0,3,1,,,
1.723,0,0,3,1088.936,0.301487314,9,2,0,3,1,,,
1.809,0,0,3,719.824,0.297337278,2,17,0,3,1,,,
1.826,0,0,3,718.425,0.295278137,10,2,0,3,1,,,
1.849,0,0,3,649.233,0.306430229,1,25,0,3,1,,,
1.896,0,0,3,1396.489,0.209502762,5,14,0,3,1,,,
1.906,0,0,3,1140.877,0.333975819,1,23,0,3,1,,,
1.926,0,0,3,790.735,0.337480287,1,19,0,3,1,,,
1.958,0,0,3,1249.033,0.203027789,2,12,0,3,1,,,
2.001,0,0,3,701.993,0.30568286,9,12,0,3,1,,,
2.009,0,0,3,954.03,0.38398318,2,13,0,3,1,,,
2.02,0,0,3,704.992,0.300014852,9,3,0,3,1,,,
2.063,0,0,3,961.725,0.321439701,10,3,0,3,1,,,
2.077,0,0,3,1084.323,0.329839606,1,1,0,3,1,,,
2.135,0,0,3,412.073,0.433766761,9,16,0,3,1,,,
2.1635,0,0,3,765.754,0.292720877,2,1,0,3,1,,,
2.195,0,0,3,723.885,0.357142857,5,1,0,3,1,,,
2.225,0,0,3,1192.671,0.341676904,10,1,0,3,1,,,
2.308,0,0,3,1584.374,0.247294546,1,21,0,3,1,,,
2.325,0,0,3,694.92,0.383980182,2,6,0,3,1,,,
2.36,0,0,3,968.397,0.308617759,2,4,0,3,1,,,
2.434,0,0,3,754.198,0.324317122,2,16,0,3,1,,,
2.437,0,0,3,961.905,0.335121012,9,11,0,3,1,,,
2.496,0,0,3,778.014,0.365019011,10,20,0,3,1,,,
2.569,0,0,3,1337.71,0.304564315,2,3,0,3,1,,,
2.581,0,0,3,793.051,0.412366193,5,10,0,3,1,,,
2.688,0,0,3,1295.412,0.384054865,10,18,0,3,1,,,
2.711,0,0,3,1267.642,0.285940302,2,7,0,3,1,,,
2.732,0,0,3,1061.235,0.347582697,1,24,0,3,1,,,
2.766,0,0,3,800.108,0.421389397,5,6,0,3,1,,,
2.812,0,0,3,925.468,0.484911192,1,2,0,3,1,,,
2.898,0,0,3,1347.922,0.449371996,5,11,0,3,1,,,
2.926,0,0,3,791.081,0.451752354,1,4,0,3,1,,,
2.934,0,0,3,1050.665,0.531329229,10,11,0,3,1,,,
2.985,0,0,3,1030.618,0.451110775,2,14,0,3,1,,,
3.007,0,0,3,831.971,0.42628296,10,15,0,3,1,,,
3.046,0,0,3,1072.567,0.559001652,5,20,0,3,1,,,
3.095,0,0,3,1850.136,0.32890542,10,21,0,3,1,,,
3.18,0,0,3,1361.797,0.292871615,9,8,0,3,1,,,
3.514,0,0,3,1634.181,0.495418018,2,25,0,3,1,,,
-0.124,1,1,1,761.334,-0.014543749,2,5,1,4,3,,,
-0.047,1,1,1,793.337,-0.008638118,4,7,1,4,3,,,
0.071,1,1,1,989.561,0.011511025,9,7,1,4,3,,,
0.176,1,1,1,627.89,0.028520499,4,8,1,4,3,,,
0.19,1,1,1,627.308,0.03450781,4,4,1,4,3,,,
0.194,1,1,1,732.241,0.046500479,4,6,1,4,3,,,
0.474,1,1,1,762.306,0.067579127,9,2,1,4,3,,,
0.509,1,1,1,1145.662,0.071149008,6,11,1,4,3,,,
0.541,1,1,1,1003.588,0.104946654,6,13,1,4,3,,,
0.646,1,1,1,1096.337,0.089797053,1,9,1,4,3,,,
0.653,1,1,1,1263.746,0.105766116,1,17,1,4,3,,,
0.747,1,1,1,849.886,0.12883753,1,6,1,4,3,,,
0.773,1,1,1,846.854,0.103758389,9,6,1,4,3,,,
0.792,1,1,1,1324.751,0.114899173,9,8,1,4,3,,,
0.847,1,1,1,1517.551,0.090096798,6,20,1,4,3,,,
0.884,1,1,1,804.207,0.12109589,6,8,1,4,3,,,
0.892,1,1,1,894.008,0.123340708,9,9,1,4,3,,,
0.977,1,1,1,1325.945,0.14733826,5,3,1,4,3,,,
1.029,1,1,1,766.878,0.176713035,1,3,1,4,3,,,
1.1,1,1,1,1128.476,0.196885627,9,12,1,4,3,,,
1.178,1,1,1,1459.8,0.13899705,6,5,1,4,3,,,
1.236,1,1,1,1262.212,0.248093135,10,2,1,4,3,,,
1.25,1,1,1,595.793,0.170253337,4,3,1,4,3,,,
1.252,1,1,1,1270.703,0.114526162,3,8,1,4,3,,,
1.261,1,1,1,1410.217,0.12577299,4,2,1,4,3,,,
1.299,1,1,1,1014.782,0.161667704,4,10,1,4,3,,,
1.352,1,1,1,1459.939,0.180869565,4,9,1,4,3,,,
1.37,1,1,1,948.899,0.230445753,4,1,1,4,3,,,
1.49,1,1,1,1195.995,0.155939299,1,10,1,4,3,,,
1.497,1,1,1,1506.637,0.204508197,7,1,1,4,3,,,
1.544,1,1,1,1359.181,0.180479252,2,9,1,4,3,,,
1.599,1,1,1,1097.733,0.219071106,4,5,1,4,3,,,
1.647,1,1,1,1441.689,0.209355536,3,2,1,4,3,,,
1.648,1,1,1,1305.991,0.185481148,6,23,1,4,3,,,
1.726,1,1,1,1493.315,0.185651285,6,1,1,4,3,,,
1.763,1,1,1,1373.818,0.195997777,7,3,1,4,3,,,
1.871,1,1,1,1372.093,0.259500693,2,8,1,4,3,,,
1.917,1,1,1,1593.423,0.243831086,6,7,1,4,3,,,
1.938,1,1,1,1033.935,0.31167578,5,4,1,4,3,,,
1.966,1,1,1,996.148,0.281138281,7,6,1,4,3,,,
1.993,1,1,1,1441.313,0.308705081,7,4,1,4,3,,,
2.047,1,1,1,1040.256,0.277898452,6,10,1,4,3,,,
2.086,1,1,1,843.664,0.338691346,3,5,1,4,3,,,
2.159,1,1,1,1113.795,0.332922128,8,1,1,4,3,,,
2.191,1,1,1,1568.922,0.475993917,10,4,1,4,3,,,
2.213,1,1,1,996.479,0.250056497,5,6,1,4,3,,,
2.262,1,1,1,952.319,0.289814222,7,7,1,4,3,,,
2.274,1,1,1,1239.676,0.271619685,3,1,1,4,3,,,
2.283,1,1,1,1273.067,0.315113872,8,2,1,4,3,,,
2.289,1,1,1,1136.868,0.317431702,6,17,1,4,3,,,
2.495,1,1,1,1577.77,0.29194945,6,12,1,4,3,,,
2.504,1,1,1,1868.303,0.288479263,3,10,1,4,3,,,
2.546,1,1,1,2089.506,0.279258528,1,7,1,4,3,,,
2.625,1,1,1,984.301,0.288239816,1,1,1,4,3,,,
2.692,1,1,1,1953.145,0.279746441,5,5,1,4,3,,,
2.7,1,1,1,910.087,0.336448598,2,7,1,4,3,,,
2.745,1,1,1,1954.405,0.278510552,9,3,1,4,3,,,
2.746,1,1,1,1436.498,0.357365955,5,7,1,4,3,,,
2.755,1,1,1,1136.457,0.349708048,6,18,1,4,3,,,
2.825,1,1,1,1196.97,0.478894728,2,6,1,4,3,,,
2.851,1,1,1,1419.37,0.337796209,5,11,1,4,3,,,
2.947,1,1,1,1623.395,0.328869546,1,2,1,4,3,,,
2.958,1,1,1,1273.353,0.503532216,6,16,1,4,3,,,
2.979,1,1,1,791.572,0.55661435,6,21,1,4,3,,,
3.014,1,1,1,802.585,0.359365685,1,4,1,4,3,,,
3.096,1,1,1,1842.618,0.506378803,1,16,1,4,3,,,
3.145,1,1,1,1044.6,0.457887457,2,1,1,4,3,,,
3.185,1,1,1,1439.748,0.495874202,3,7,1,4,3,,,
